event_id,event_name,event_type,primary_location_id,estimated_period,source_work_id,summary,notes
1,Titanomachy,Divine conflict,1,Mythic age,3,War between the Olympian gods and the Titans,"Major divine succession conflict in Greek myth"
2,Creation of Pandora,Creation myth,1,Mythic age,4,The gods create Pandora as part of Zeus punishment for humanity,"Linked to Prometheus and Epimetheus"
3,Abduction of Persephone,Abduction myth,20,Mythic age,3,Hades takes Persephone to the Underworld,"Explains seasonal cycle in later tradition"
4,Judgement of Paris,Beauty contest,2,Mythic age,28,Paris judges between Hera Athena and Aphrodite,"Important mythical cause of the Trojan War"
5,Abduction or elopement of Helen,Trojan War cause,6,Mythic age,1,Helen leaves Sparta with Paris for Troy,"Traditions vary on agency and responsibility"
6,Greek fleet gathers at Aulis,Trojan War event,28,Mythic age,22,Greek leaders gather before sailing to Troy,"Linked to sacrifice of Iphigenia"
7,Sacrifice of Iphigenia,Sacrifice myth,28,Mythic age,22,Iphigenia is offered before the Greek expedition sails,"Some traditions say Artemis rescues her"
8,Wrath of Achilles,Trojan War event,2,Mythic age,1,Achilles withdraws from battle after dispute with Agamemnon,"Central conflict of the Iliad"
9,Death of Patroclus,Trojan War event,2,Mythic age,1,Hector kills Patroclus in battle,"This causes Achilles to return to combat"
10,Death of Hector,Trojan War event,2,Mythic age,1,Achilles kills Hector outside Troy,"One of the major climactic events of the Iliad"
11,Fall of Troy,Trojan War event,2,Mythic age,37,Troy is captured by the Greeks,"Covered in later Trojan War traditions rather than fully in the Iliad"
12,Aeneas flees Troy,Foundation myth,2,Mythic age,47,Aeneas escapes Troy and begins his journey toward Italy,"Central Roman continuation of Trojan myth"
13,Odysseus blinds Polyphemus,Odyssey episode,48,Mythic age,2,Odysseus blinds the Cyclops Polyphemus,"Leads to Poseidon hostility toward Odysseus"
14,Odysseus visits Circe,Odyssey episode,44,Mythic age,2,Odysseus encounters Circe on Aiaia,"Circe transforms some of his crew"
15,Odysseus detained by Calypso,Odyssey episode,45,Mythic age,2,Calypso keeps Odysseus on Ogygia,"One of the delays in his return home"
16,Odysseus returns to Ithaca,Homecoming,3,Mythic age,2,Odysseus returns home and confronts the suitors,"Major nostos or return narrative"
17,Murder of Agamemnon,House of Atreus event,7,Mythic age,6,Clytemnestra kills Agamemnon after his return from Troy,"Central event in the Oresteia"
18,Orestes avenges Agamemnon,House of Atreus event,7,Mythic age,7,Orestes kills Clytemnestra to avenge Agamemnon,"Raises questions of justice family duty and pollution"
19,Trial of Orestes,Legal myth,5,Mythic age,8,Orestes is tried and purified at Athens,"Mythic origin story for legal judgement"
20,Jason seeks the Golden Fleece,Quest,15,Mythic age,26,Jason and the Argonauts travel to Colchis,"Major heroic quest cycle"
21,Medea helps Jason,Quest episode,15,Mythic age,26,Medea helps Jason complete impossible tasks,"Shows Medea as helper sorceress and strategist"
22,Medea takes revenge,Revenge tragedy,17,Mythic age,16,Medea takes revenge after Jason abandons her,"Central event of Euripides Medea"
23,Theseus kills the Minotaur,Heroic monster slaying,10,Mythic age,28,Theseus enters the Labyrinth and kills the Minotaur,"Ariadne helps him with the thread"
24,Daedalus and Icarus escape Crete,Escape myth,10,Mythic age,44,Daedalus and Icarus fly from Crete,"Icarus falls after flying too close to the sun"
25,Perseus kills Medusa,Heroic monster slaying,31,Mythic age,44,Perseus beheads Medusa,"Pegasus is born from Medusa in later tradition"
26,Oedipus solves the Sphinx riddle,Heroic episode,4,Mythic age,28,Oedipus defeats the Sphinx by solving her riddle,"Leads to his kingship at Thebes"
27,Oedipus discovers the truth,Tragic revelation,4,Mythic age,10,Oedipus learns his true identity and crimes,"Central revelation in Oedipus Rex"
28,Antigone buries Polyneices,Burial conflict,4,Mythic age,12,Antigone defies Creon and buries her brother,"Conflict between state law and family duty"
29,Dionysus returns to Thebes,Divine revenge,4,Mythic age,18,Dionysus punishes Thebes for denying his divinity,"Central event of The Bacchae"
30,Orpheus descends to the Underworld,Underworld journey,21,Mythic age,44,Orpheus attempts to retrieve Eurydice from the dead,"One of the best-known katabasis myths"
